indicator_id,year,value,region,note
S3-1-2,2021,11.4,전국,
S3-1-2,2022,12.0,전국,
S3-1-2,2023,12.6,전국,
S3-1-2,2024,13.2,전국,잠정치
S3-2-1,2020,22.6,전국,기준값
S3-2-1,2021,22.9,전국,
S3-2-1,2022,23.3,전국,
S3-2-1,2023,23.6,전국,
S3-2-1,2024,24.0,전국,잠정치
S3-2-2,2020,0.62,전국,기준값
S3-2-2,2021,0.62,전국,
S3-2-2,2022,0.61,전국,
S3-2-2,2023,0.63,전국,
S3-2-2,2024,0.62,전국,잠정치
P1-1-1,2020,3.12,전국,기준값
P1-1-1,2021,3.2,전국,
P1-1-1,2022,3.28,전국,
P1-1-1,2023,3.41,전국,
P1-1-1,2024,3.52,전국,잠정치
P1-2-1,2020,38.5,전국,기준값
P1-2-1,2021,41.2,전국,
P1-2-1,2022,46.8,전국,
P1-2-1,2023,51.3,전국,
P1-2-1,2024,55.9,전국,잠정치
P2-1-1,2020,24.6,전국,기준값
P2-1-1,2021,23.8,전국,
P2-1-1,2022,22.1,전국,
P2-1-1,2023,21.4,전국,
P2-1-1,2024,20.2,전국,잠정치
P2-1-2,2020,31.2,전국,기준값
P2-1-2,2021,32.5,전국,
P2-1-2,2022,33.1,전국,
P2-1-2,2023,32.8,전국,
P2-1-2,2024,33.6,전국,잠정치
P3-1-1,2020,71.3,전국,기준값
P3-1-1,2021,76.4,전국,
P3-1-1,2022,81.2,전국,
P3-1-1,2023,85.0,전국,
P3-1-1,2024,88.6,전국,잠정치
P3-1-2,2020,2.85,전국,기준값
P3-1-2,2021,2.88,전국,
P3-1-2,2022,2.91,전국,
P3-1-2,2023,2.94,전국,
P3-1-2,2024,2.99,전국,잠정치
P3-2-1,2020,45.7,전국,기준값
P3-2-1,2021,52.3,전국,
P3-2-1,2022,58.9,전국,
P3-2-1,2023,64.2,전국,
P3-2-1,2024,70.8,전국,잠정치
P3-2-2,2020,18.4,전국,기준값
P3-2-2,2021,19.0,전국,
P3-2-2,2022,17.6,전국,
P3-2-2,2023,20.2,전국,
P3-2-2,2024,21.5,전국,잠정치
